params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.626333929087832,200,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.1}",3.175225699300423,200,-0.09926443286556452,-0.1,-0.1,-0.08472222222222221,0.0026443994698078415
"{""discount_factor"": 0.2}",1.8545549145005378,200,-0.0979565732593936,-0.1,-0.1,-0.065625,0.0051798989801716475
"{""discount_factor"": 0.3}",3.7529222785318197,200,-0.09749772479909272,-0.1,-0.1,-0.052173913043478286,0.007616820386382169
"{""discount_factor"": 0.4}",1.31331906366988,200,-0.05348887129798222,-0.052173913043478286,-0.1,-0.021428571428571446,0.014666268049823428
"{""discount_factor"": 0.5}",1.3748773330425674,200,-0.041989178043310635,-0.04210526315789475,-0.09017857142857144,-0.021428571428571446,0.010887794359282674
"{""discount_factor"": 0.6}",1.3605061384836876,200,-0.03951905068838267,-0.038888888888888896,-0.06764705882352942,-0.021428571428571446,0.010797718278493724
"{""discount_factor"": 0.7}",1.462397145435208,200,-0.039385997305171554,-0.038888888888888896,-0.06451612903225809,-0.021428571428571446,0.011080437528235386
"{""discount_factor"": 0.8}",1.5484263863934107,200,-0.042341614649267945,-0.038888888888888896,-0.21250000000000002,-0.021428571428571446,0.022844290559012315
"{""discount_factor"": 0.9}",1.4887494054306885,200,-0.0465823101240242,-0.03529411764705883,-0.27999999999999997,-0.021428571428571446,0.04645375262774429
