steps,time,reward,delta,converged
1,0.094322001355863,-108.18134873907094,0.700522791854179,False
2,0.12460276449050411,-84.09921172560249,0.19834859716275627,False
3,0.11834931756874312,-79.43038653259559,0.06621122026564696,False
4,0.11821657651336182,-78.4613523454034,0.03798759039515137,False
5,0.11796926728518997,-78.16702471323883,0.028628600401176263,False
6,0.1100221867192488,-78.12020079423071,0.0006565606938409574,False
7,0.11267700782696011,-78.11682877248249,0.00015102226248459028,False
8,0.11856028103176186,-78.11681431642351,5.777408408846885e-06,False
9,0.11251305682108637,-78.11681431642351,5.777408408846885e-06,False
10,0.11756630336705598,-78.11681431642351,5.777408408846885e-06,False
11,0.11723682110456934,-78.11681431642351,5.777408408846885e-06,False
12,0.10932213567716076,-78.11681431642351,5.777408408846885e-06,True
