params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",107.98238857104116,10,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",6.695680085838831,10,-1.2884615384615383,6.769230769230769,-13.375,6.769230769230769,9.868617329097612
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",6.565533526070794,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.648589987413288,10,0.7259615384615384,6.769230769230769,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.591349979102233,10,-7.331730769230771,-13.375,-13.375,6.769230769230769,9.231246231665851
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.613218586517178,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.615953199481737,10,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615385
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.50020740707987,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.614771966780609,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",5.455948711587553,10,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",107.93279813088702,10,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",7.865728607243,10,-5.317307692307693,-13.375,-13.375,6.769230769230769,9.868617329097612
