steps,time,reward,delta,converged
1,0.0028574769658007426,-0.34750000000000003,1.0,False
2,0.003282562714048254,-0.4,1.0,False
3,0.0006340730719784915,-1.2000000000000002,1.0,False
4,0.0012096771008600626,-0.65,1.0,False
5,0.001957922831934411,-0.43000000000000005,1.0,False
6,0.0018176761400354735,-0.4535714285714286,0.9990000000000001,False
7,0.003354858896045698,-0.29038461538461535,1.0,False
8,0.001370466970229245,-0.595,1.0,False
9,0.002029823952852894,-0.4193548387096775,1.0,False
10,0.0010018749601385935,-0.8071428571428572,1.0,False
11,0.003164044382629072,-0.4193548387096775,0.9,False
12,0.001221923994989993,-0.9249999999999999,1.0,False
13,0.004141425554280431,-0.34146341463414637,1.0,False
14,0.01027000846215742,-0.19999999999999982,0.9,False
15,0.000712295170615107,-1.5142857142857142,1.0,False
16,0.005687299654709932,-0.298,1.0,False
17,0.003759401466595591,-0.31521739130434784,0.9,False
18,0.0006151101390514668,-1.2000000000000002,0.9,False
19,0.0011180229246292583,-0.6823529411764706,0.9970411830338559,False
20,0.0010548131479026779,-0.71875,0.9171,False
21,0.003214612203919387,-0.31063829787234043,0.8253900000000001,False
22,0.001568787644373515,-0.5304347826086957,0.9990000000000001,False
23,0.003570167197722185,-0.32,0.9,False
24,0.001605133265911718,-0.5125000000000001,1.0,False
25,0.0038613272315615177,-0.26779661016949147,0.909,False
26,0.003299550341353097,-0.31521739130434784,0.742851,False
27,0.006264483927679976,-0.26779661016949147,0.81,False
28,0.0022301199326193455,-0.5714285714285714,0.9,False
29,0.003368686034491475,-0.3911764705882353,1.0,False
30,0.0018682439613257884,-0.6823529411764706,1.0,False
31,0.0021400460009317612,-0.5714285714285714,0.6685659,False
32,0.0026769340413466125,-0.46666666666666673,0.81,False
33,0.0015932814328607492,-0.71875,0.60170931,False
34,0.001925132760334236,-0.6823529411764706,0.5860524730979444,False
35,0.003020637201871068,-0.4535714285714286,0.81,False
36,0.002309922275799181,-0.55,0.9,False
37,0.004144981104218459,-0.33571428571428574,0.9920304970169745,False
