episode,length,time,reward,delta
0,35.0,0.0042453266248685395,-13.500000000000002,-9.99
1,22.0,0.0028448350108192244,-12.200000000000001,-10.0
2,34.0,0.0033501181628707855,-13.400000000000002,-10.0
3,27.0,0.0025434033882447693,-12.700000000000001,-9.9894
4,14.0,0.0013704669700018712,-11.4,-8.99046
5,26.0,0.002450959089856042,-12.600000000000001,-10.0
6,8.0,0.0009414306111921178,-10.8,-9.99
7,16.0,0.0017117997640525573,-11.6,-10.0
8,17.0,0.0016762442646722775,-11.700000000000001,-10.0
9,47.0,0.0038190556933841435,-14.7,-10.0
10,16.0,0.0011136772525333072,-11.6,-10.0
11,41.0,0.0032770318584880442,-14.100000000000001,-9.981
12,21.0,0.00252167502753764,-12.100000000000001,-8.091414
13,13.0,0.0012910596883557446,-11.3,-10.0
14,5.0,0.0006743693047610577,-10.5,-9.0
15,70.0,0.0068531249728494,-16.999999999999993,-10.0
16,45.0,0.0037874508050208533,-14.5,-7.2822726
17,34.0,0.0024236998738160764,-13.400000000000002,-10.0
18,32.0,0.002138465756388541,-13.200000000000001,-9.99
19,42.0,0.0027705635229722247,-14.200000000000001,-9.99
20,15.0,0.0010390107038347196,-11.5,-9.0882732
21,15.0,0.0010401958870716044,-11.5,-8.1
22,34.0,0.0031016247282877885,-13.400000000000002,-8.991
23,20.0,0.0021673052171991003,-12.0,-8.9829
24,25.0,0.0026062181036650145,-12.5,-9.947951060650384
25,22.0,0.0022964901979776187,-12.200000000000001,-9.088272336
26,18.0,0.0022024656555004185,-11.8,-9.99
27,24.0,0.0028207362834109517,-12.4,-9.0
28,19.0,0.0021696755839002435,-11.9,-9.93064436525208
29,16.0,0.0016695282258751831,-11.6,-9.0
30,21.0,0.00218508296688924,-12.100000000000001,-8.346880457175807
31,11.0,0.0015371827560102247,-11.1,-8.265549
32,36.0,0.004185672398079987,-13.600000000000001,-7.548624614272821
33,30.0,0.002039305419430093,-13.000000000000002,-6.793762152845538
34,29.0,0.0019425154489454144,-12.900000000000002,-7.512192411458226
35,67.0,0.004382807888987372,-16.699999999999992,-9.933523691556438
36,15.0,0.00105283784250787,-11.5,-6.760973170312404
37,30.0,0.001997824003410642,-13.000000000000002,-7.68449469
38,47.0,0.0036270559967306326,-14.7,-9.99
39,10.0,0.0007371840201813029,-11.0,-10.0
40,133.0,0.008547146987211818,-23.29999999999997,-10.0
41,5.0,0.0003998018373749801,-10.5,-6.886820792844643
42,72.0,0.004987251378224755,-17.19999999999999,-8.991
43,40.0,0.0026852303244595532,-14.000000000000002,-9.945000186704444
44,40.0,0.002661526658357616,-14.000000000000002,-8.091899999999999
45,17.0,0.0011812327011284651,-11.700000000000001,-8.1
46,27.0,0.0018125403457815992,-12.700000000000001,-9.115224709113715
47,51.0,0.00608907679747972,-15.099999999999998,-9.0
48,37.0,0.005881669717837212,-13.700000000000003,-9.978761496
49,30.0,0.004109820665917141,-13.000000000000002,-10.0
50,36.0,0.0046111532069517125,-13.600000000000001,-8.266072350979107
51,7.0,0.001093529136142024,-10.7,-7.439465115881196
52,221.0,0.03251905972297209,-32.100000000000044,-6.695518604293077
53,23.0,0.003459550088564356,-12.3,-10.0
54,58.0,0.008585467914372202,-15.799999999999995,-9.981
55,16.0,0.0024363418290249683,-11.6,-6.025966743863769
56,6.0,0.000964344155136132,-10.6,-5.423370069477392
57,29.0,0.0023442925917152024,-12.900000000000002,-6.19813871356018
58,30.0,0.0020302190139318554,-13.000000000000002,-10.0
59,25.0,0.001681775120232487,-12.5,-7.5404318668008115
60,42.0,0.002796637556002679,-14.200000000000001,-10.0
61,75.0,0.00717193928380766,-17.49999999999999,-10.0
62,42.0,0.004528980497298107,-14.200000000000001,-6.084875853281163
63,19.0,0.0019950585756305372,-11.9,-5.578324842204162
64,100.0,0.01156778418931026,-19.99999999999998,-10.0
65,60.0,0.005650163910786432,-15.999999999999995,-8.1
66,17.0,0.0027484401011861337,-11.700000000000001,-5.4763882679530465
