step,reward,mean,median,std,max,min
0,-0.03125000000000001,-0.03125000000000001,-0.03125000000000001,0.0,-0.03125000000000001,-0.03125000000000001
1,-0.02666666666666669,-0.02895833333333335,-0.02895833333333335,0.002291666666666659,-0.02666666666666669,-0.03125000000000001
2,-0.038888888888888896,-0.03226851851851853,-0.03125000000000001,0.0050414094584596385,-0.02666666666666669,-0.038888888888888896
3,-0.038888888888888896,-0.03392361111111112,-0.03506944444444445,0.0052230117237135635,-0.02666666666666669,-0.038888888888888896
4,-0.021428571428571446,-0.03142460317460318,-0.03125000000000001,0.006841348101051287,-0.021428571428571446,-0.038888888888888896
5,-0.04500000000000002,-0.03368716931216932,-0.03506944444444445,0.008037375037956722,-0.021428571428571446,-0.04500000000000002
6,-0.03125000000000001,-0.033339002267573706,-0.03125000000000001,0.007489875425477494,-0.021428571428571446,-0.04500000000000002
7,-0.04210526315789475,-0.03443478487886384,-0.03506944444444445,0.007582290641453012,-0.021428571428571446,-0.04500000000000002
8,-0.03529411764705883,-0.03453026629755217,-0.03529411764705883,0.007153751567972247,-0.021428571428571446,-0.04500000000000002
9,-0.03529411764705883,-0.034606651432502834,-0.03529411764705883,0.006790512318390398,-0.021428571428571446,-0.04500000000000002
