episode,length,time,reward,delta
0,6.0,0.0005483448123868584,-10.6,-10.000825198108004
1,11.0,0.0007920975137949426,-11.1,-9.99982568161631
2,41.0,0.002672983430329623,-14.100000000000001,-10.000370246283948
3,14.0,0.0009682947661531216,-11.4,-9.999930881460228
4,25.0,0.0017422194691789628,-12.5,-5.000412599054002
5,63.0,0.004636042056517908,-16.299999999999994,-10.00001803599317
6,6.0,0.0004764436914683756,-10.6,-10.000791342070665
7,12.0,0.0008588628402321774,-11.2,-10.000129377607967
8,12.0,0.0008501714960402751,-11.2,-10.00051699039858
9,22.0,0.0014917507292011578,-12.200000000000001,-9.950084465393974
10,59.0,0.003845129726187224,-15.899999999999995,-6.200089782811
11,12.0,0.0008541221070572647,-11.2,-5.000185123141975
12,11.0,0.0012555041887480911,-11.1,-4.975042232696986
13,8.0,0.000855702351373111,-10.8,-10.000158428823312
14,24.0,0.002368391319123475,-12.4,-9.95021738144906
15,13.0,0.0013329361652267835,-11.3,-10.000792273850958
16,14.0,0.0014281458913956158,-11.4,-2.4875211163484927
17,18.0,0.0018030588789770263,-11.8,-5.000395671035332
18,27.0,0.002657971108192214,-12.700000000000001,-10.000789312482672
19,56.0,0.005451053114256865,-15.599999999999996,-10.00015900313274
20,14.0,0.0014277508303166542,-11.4,-9.94178971634559
21,32.0,0.0031209827222937747,-13.200000000000001,-5.000009017996585
22,116.0,0.00850013471585953,-21.599999999999973,-4.9751086907245305
23,23.0,0.001551009894683375,-12.3,-2.5001978355176657
24,7.0,0.000528196696222949,-10.7,-10.00063998348046
25,38.0,0.0025050824610843847,-13.800000000000002,-10.00022223293844
26,24.0,0.0016043431437537947,-12.4,-2.5000925615709875
27,9.0,0.0006550113105276978,-10.9,-9.892239068420485
28,34.0,0.003008390307741138,-13.400000000000002,-5.000079501566371
29,12.0,0.0008639986347134254,-11.2,-9.944886528927924
30,36.0,0.0023766876024637895,-13.600000000000001,-9.883420276150362
31,31.0,0.0020503671303231386,-13.100000000000001,-9.877217783753874
32,41.0,0.0026840451412226685,-14.100000000000001,-4.970894858172795
33,13.0,0.0009118010282236355,-11.3,-9.99998915672472
34,28.0,0.001872194572342778,-12.8,-10.000318582605955
35,10.0,0.0010860229751870065,-11.0,-4.941710138075181
36,14.0,0.0014174792415815318,-11.4,-10.000208899931676
37,54.0,0.005195843641331521,-4.399999999999997,0.999203736723117
38,11.0,0.0011614796460435173,-11.1,-7.441200851884907
39,17.0,0.0017042936030975397,-11.700000000000001,-9.90479712594875
40,46.0,0.004508832381134198,-14.6,-2.500004508998293
41,16.0,0.001640293704213036,-11.6,-9.917472205710293
42,40.0,0.0038818704090317624,-14.000000000000002,-9.893382615233087
43,50.0,0.0048181652255152585,-14.999999999999998,-7.450195871478171
44,22.0,0.0015585160556383926,-12.200000000000001,-4.999994578362359
45,8.0,0.0005973323893613269,-10.8,-9.875483676129567
46,16.0,0.001102615541412888,-11.6,-2.4875543453622653
47,32.0,0.002109231234726394,-13.200000000000001,-9.571584852972398
48,6.0,0.0004641967973384453,-10.6,-5.000079214411656
49,15.0,0.0010358502149756532,-11.5,-5.00031999174023
50,15.0,0.0010342699706598069,-11.5,-4.972443264463961
51,18.0,0.0012238993003848009,-11.8,-4.999912840808154
52,6.0,0.0004598511250151205,-10.6,-7.7179359223115185
53,21.0,0.0014095780195475527,-12.100000000000001,-1.2500989177588337
54,9.0,0.000786566658234733,-10.9,-6.867620633993507
