step,reward,mean,median,std,max,min
0,-0.09508928571428574,-0.09508928571428574,-0.09508928571428574,0.0,-0.09508928571428574,-0.09508928571428574
1,-0.09571984435797666,-0.0954045650361312,-0.0954045650361312,0.00031527932184546165,-0.09508928571428574,-0.09571984435797666
2,-0.06666666666666667,-0.08582526557964303,-0.09508928571428574,0.01354962078883901,-0.06666666666666667,-0.09571984435797666
3,-0.09661538461538462,-0.08852279533857842,-0.0954045650361312,0.012630287726019148,-0.06666666666666667,-0.09661538461538462
4,-0.04761904761904764,-0.08034204579467226,-0.09508928571428574,0.019882605131976722,-0.04761904761904764,-0.09661538461538462
5,-0.16556291390728475,-0.094545523813441,-0.0954045650361312,0.03658039905254348,-0.04761904761904764,-0.16556291390728475
6,-0.09823151125401929,-0.09507209344780933,-0.09571984435797666,0.03389142146707667,-0.04761904761904764,-0.16556291390728475
7,-0.04761904761904764,-0.08914046271921414,-0.0954045650361312,0.035374278715325794,-0.04761904761904764,-0.16556291390728475
8,-0.09219858156028367,-0.0894802537015552,-0.09508928571428574,0.03336503447003131,-0.04761904761904764,-0.16556291390728475
9,-0.08962264150943396,-0.08949449248234308,-0.09364393363728471,0.03165287976399058,-0.04761904761904764,-0.16556291390728475
