params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",107.73503528290723,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",10.533575453115304,10,-0.041604201482517186,-0.03709150326797386,-0.06451612903225809,-0.03125000000000001,0.010032689606826925
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",9.566523944258392,10,-0.04574002196507019,-0.038888888888888896,-0.08196721311475406,-0.03125000000000001,0.015584044506777358
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.68683387759586,10,-0.041687429042692216,-0.043552631578947384,-0.05925925925925928,-0.021428571428571446,0.012697548231853026
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.66592408347799,10,-0.04282083476665522,-0.04210526315789475,-0.05925925925925928,-0.02666666666666669,0.008529973549991847
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.559784201822481,10,-0.03800403929687818,-0.03529411764705883,-0.054166666666666675,-0.021428571428571446,0.009485533855269436
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.23675340364889,10,-0.042037629399585934,-0.04194444444444446,-0.056000000000000015,-0.02666666666666669,0.008536853584268611
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.010656378221938,10,-0.03798958794043934,-0.038888888888888896,-0.04761904761904764,-0.02666666666666669,0.005910999001978958
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",8.047731282597397,10,-0.04114179412205729,-0.038888888888888896,-0.05925925925925928,-0.02666666666666669,0.011340021479308092
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",7.772485890392659,10,-0.03572103051747015,-0.03529411764705883,-0.04500000000000002,-0.021428571428571446,0.006767130918656276
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",92.10055648307127,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
