steps,time,reward,delta,converged
1,0.0027567363849811954,-0.34750000000000003,5.0,False
2,0.004521869397649425,-0.25714285714285706,5.0,False
3,0.003762957017897861,-0.2649999999999999,5.0,False
4,0.0040059195962385274,-0.27678571428571425,5.0,False
5,0.008611146886323695,-0.17857142857142835,5.0,False
6,0.0063154468098218786,-0.20879120879120863,5.0,False
7,0.004254808090990991,-0.2596774193548386,5.0,False
8,0.0016418739487562561,-0.4807692307692308,2.5,False
9,0.0023774777255312074,-0.36052631578947375,5.0,False
10,0.0022261693211476086,-0.4,5.0,False
11,0.003233970197470626,-0.31063829787234043,4.975,False
12,0.0022565890267287614,-0.37500000000000006,2.5,False
13,0.0012598498615261633,-0.595,4.975,False
14,0.0031217728446790716,-0.298,5.0,False
15,0.008119690872263163,-0.18048780487804858,5.0,False
16,0.010896575373408268,-0.1578947368421051,4.975,False
17,0.005035053771280218,-0.22222222222222204,2.4875000000000003,False
18,0.0030012792067282135,-0.30624999999999997,4.9475,False
19,0.0015790592315170215,-0.5125000000000001,3.7175000000000002,False
20,0.002285428487084573,-0.37500000000000006,4.975,False
21,0.006915149566339096,-0.189189189189189,5.0,False
22,0.003215402324713068,-0.31521739130434784,5.0,False
23,0.0009023195616464363,-0.8071428571428572,1.25,False
24,0.0015095284798007924,-0.5125000000000001,4.94399375,False
25,0.0068934212049498456,-0.189189189189189,2.5,False
26,0.00310201978936675,-0.31521739130434784,4.945,False
27,0.007073569069689256,-0.18684210526315767,5.0,False
28,0.0018717995117185637,-0.43000000000000005,4.474,False
29,0.0022435520113504026,-0.43000000000000005,1.25,False
30,0.004886510796495713,-0.2253164556962024,5.0,False
31,0.0038490803381137084,-0.2596774193548386,4.312159375,False
32,0.0026141193266084883,-0.3911764705882353,5.0,False
33,0.003363945301316562,-0.28333333333333327,5.0,False
34,0.0015731333169242134,-0.496,2.5,False
35,0.008038703346755938,-0.18608695652173893,2.5,False
36,0.0023312555749726016,-0.3911764705882353,5.0,False
37,0.0023320456966757774,-0.3828571428571429,5.0,False
38,0.006072484231481212,-0.23943661971830976,5.0,False
39,0.005124337581946747,-0.262295081967213,4.975,False
40,0.0022269594428507844,-0.3911764705882353,4.9347066875,False
41,0.0025054775214812253,-0.4,2.4875000000000003,False
42,0.003183402377544553,-0.30204081632653057,1.2437500000000004,False
43,0.0012385165628074901,-0.6210526315789474,4.905884357910156,False
44,0.01162664829280402,-0.1553072625698323,5.0,False
45,0.005329374294888112,-0.2192771084337348,5.0,False
46,0.005654114522258169,-0.22222222222222204,2.4875000000000003,False
47,0.0034658710665098624,-0.2867924528301886,5.0,False
48,0.005926706684476812,-0.20879120879120863,4.9087701758869065,False
49,0.002405132001513266,-0.37500000000000006,4.939,False
50,0.0013096275597490603,-0.595,4.894398656,False
51,0.004981325460903463,-0.2285714285714284,5.0,False
52,0.004182906970527256,-0.298,5.0,False
53,0.0035263154150015907,-0.3828571428571429,1.2437500000000004,False
54,0.0036772287567146122,-0.3675675675675676,4.975,False
55,0.0013894299045205116,-0.595,0.625,False
56,0.003761771833524108,-0.298,0.6218750000000002,False
57,0.0016363430931960465,-0.496,4.909934365234375,False
58,0.003497871015497367,-0.29038461538461535,3.0800875000000003,False
59,0.005642657750286162,-0.2137931034482757,5.0,False
60,0.004061228150021634,-0.25714285714285706,2.5,False
61,0.001249183211257332,-0.6210526315789474,4.749590998046875,False
62,0.0056940156937344,-0.2799999999999999,4.949375,False
63,0.0057236452757933876,-0.2706896551724137,4.975,False
64,0.007243050284159835,-0.23378378378378364,4.5891407991814255,False
65,0.002855896722394391,-0.44137931034482764,4.9625,False
66,0.004153672449319856,-0.28333333333333327,4.975,False
67,0.005138954842550447,-0.22374999999999984,2.4875000000000003,False
68,0.002247502621685271,-0.3828571428571429,2.7545766480204135,False
69,0.0018141205891879508,-0.46666666666666673,2.5,False
70,0.0031656246283091605,-0.30204081632653057,1.2437500000000004,False
71,0.0024517492129234597,-0.36052631578947375,1.2437500000000004,False
72,0.001423405159584945,-0.55,2.4673533437499997,False
73,0.005812138964756741,-0.2137931034482757,5.0,False
74,0.002462415863192291,-0.36052631578947375,0.6218750000000002,False
75,0.0027286870463285595,-0.33571428571428574,4.903707265625,False
76,0.0012531338215922005,-0.6210526315789474,0.3125,False
77,0.005513472769962391,-0.21647058823529394,4.9510625,False
78,0.0011808376384578878,-0.65,1.3772883240102067,False
79,0.0010473069869476603,-0.71875,1.233676671875,False
80,0.00193619447236415,-0.43000000000000005,0.31093749999999964,False
81,0.004013425757875666,-0.3675675675675676,2.5,False
82,0.0025860699879558524,-0.496,2.447199328,False
83,0.002064984391836333,-0.595,0.15625,False
84,0.0012922448713652557,-1.0,0.6886441620051036,False
85,0.005590509683315759,-0.2736842105263157,2.5,False
86,0.004902313239654177,-0.31521739130434784,2.5,False
87,0.0043630548352666665,-0.2649999999999999,0.31093749999999964,False
88,0.002141626244338113,-0.4,2.4746875,False
89,0.004405721434523002,-0.26779661016949147,1.23734375,False
90,0.004958016856107861,-0.30624999999999997,1.25,False
91,0.00593263260088861,-0.2736842105263157,5.0,False
92,0.0028736744716297835,-0.44137931034482764,4.90094179171288,False
93,0.001918416721309768,-0.6210526315789474,0.34432208100255224,False
94,0.0036732781445607543,-0.3911764705882353,1.25,False
95,0.0010283440533385146,-0.76,1.223599664,False
96,0.004517523724643979,-0.2414285714285713,3.375473911578125,False
97,0.0027784647445514565,-0.3302325581395349,2.4875000000000003,False
98,0.005735102049584384,-0.21647058823529394,2.5,False
99,0.0018903673844761215,-0.44137931034482764,4.815027846820561,False
100,0.005163448629900813,-0.22374999999999984,0.625,False
101,0.0016884911601664498,-0.55,2.4075139234102805,False
102,0.0025844897427305114,-0.34750000000000003,1.25,False
103,0.0047249308045138605,-0.23378378378378364,3.7012156249999997,False
104,0.0021866632105229655,-0.3911764705882353,5.0,False
105,0.0033054762570827734,-0.44137931034482764,2.4543850879434532,False
106,0.002673378492545453,-0.46666666666666673,4.8777510101855786,False
107,0.0038557963762286818,-0.3538461538461539,2.7784375,False
108,0.0009615787275834009,-0.8071428571428572,0.078125,False
109,0.004617474183760351,-0.23749999999999988,5.0,False
110,0.00900383762382262,-0.18048780487804858,1.38921875,False
111,0.00983070051552204,-0.2010204081632651,5.0,False
112,0.003944685124224634,-0.262295081967213,5.0,False
113,0.001812935406633187,-0.4535714285714286,4.896385455681613,False
114,0.003601772084948607,-0.27678571428571425,5.0,False
115,0.009996626178690349,-0.16513157894736818,5.0,False
116,0.002091453485263628,-0.40937500000000004,2.4875000000000003,False
117,0.002011256081459578,-0.4193548387096775,2.4875000000000003,False
118,0.004016191183836781,-0.2596774193548386,3.209078722481164,False
119,0.0027547610789042665,-0.3302325581395349,1.25,False
120,0.0016098739997687517,-0.496,0.6168383359374996,False
121,0.004437721381691517,-0.2523076923076922,4.975,False
122,0.0010556032702879747,-0.71875,0.0390625,False
123,0.0014285409524745774,-0.55,0.17216104050127612,False
124,0.004966708200299763,-0.22692307692307678,2.5,False
125,0.0025066627058549784,-0.3828571428571429,2.759376708828125,False
126,0.0011275043907517102,-0.6823529411764706,3.6905753502766236,False
127,0.006585668605112005,-0.19611650485436874,4.955,False
128,0.0014309113194030942,-0.55,3.0526567728137275,False
129,0.003558710424840683,-0.37500000000000006,0.3125,False
130,0.0043097215857414994,-0.325,0.15625,False
131,0.01579770343050768,-0.1438053097345135,2.5,False
132,0.009116825100136339,-0.19339622641509413,1.25,False
133,0.001789626801837585,-0.46666666666666673,2.5,False
134,0.011570944678169326,-0.09051724137931014,0.5,False
135,0.005889965999813285,-0.25714285714285706,3.1323784660185545,False
136,0.0029676990143343573,-0.31521739130434784,0.3084191679687498,False
137,0.004284437673049979,-0.24776119402985067,5.0,False
138,0.003966808546465472,-0.34750000000000003,0.15420958398437534,False
139,0.011818647990367026,-0.17333333333333312,4.955,False
140,0.004404931311000837,-0.24776119402985067,4.299989206328125,False
141,0.003474167349850177,-0.28333333333333327,4.94595125,False
142,0.0024485887224727776,-0.36052631578947375,1.25,False
143,0.000855702352055232,-0.8615384615384615,1.8452876751383118,False
144,0.001287109076656634,-0.8071428571428572,2.4828927054245113,False
145,0.003923746886357549,-0.30204081632653057,3.9828697559492188,False
146,0.01844461282780685,-0.14212765957446835,4.975,False
147,0.0019954536383011146,-0.5125000000000001,1.5263283864068642,False
148,0.0009110109058383387,-0.9249999999999999,0.01953125,False
149,0.0014380224183696555,-0.55,1.2437500000000004,False
150,0.005131448680913309,-0.2253164556962024,4.94275,False
151,0.0036780188802367775,-0.325,4.826646872617188,False
152,0.003708438583998941,-0.2736842105263157,4.975,False
153,0.00298547676356975,-0.31521739130434784,4.30913125,False
154,0.013359781356484746,-0.14925373134328365,2.5,False
155,0.002774514134216588,-0.3302325581395349,5.0,False
156,0.0034496735606808215,-0.2867924528301886,5.0,False
157,0.006740927618011483,-0.19339622641509413,4.975,False
158,0.0022909593426447827,-0.4193548387096775,0.009765625,False
159,0.003393179824342951,-0.29038461538461535,3.7052140625,False
160,0.002154663261535461,-0.4,4.884684883791392,False
161,0.00536809028199059,-0.2178571428571427,1.5661892330092773,False
162,0.0009584182389517082,-0.8615384615384615,0.6218750000000002,False
163,0.005627645427011885,-0.20999999999999983,4.975,False
164,0.005716139114156249,-0.2178571428571427,0.078125,False
165,0.002365625890888623,-0.36052631578947375,0.7830946165046386,False
166,0.0037143645004107384,-0.2649999999999999,1.2437500000000004,False
167,0.002235650788861676,-0.37500000000000006,1.6877369557890622,False
168,0.005254312683973694,-0.23199999999999987,2.4875000000000003,False
169,0.0023861690697231097,-0.3675675675675676,1.6045393612405823,False
170,0.0035800437253783457,-0.27678571428571425,5.0,False
171,0.0008509616181981983,-0.8615384615384615,4.848319787776656,False
172,0.009394157994393026,-0.16780821917808195,4.95625,False
173,0.0016292319942294853,-0.496,2.900145981532531,False
174,0.0019199969647161197,-0.5125000000000001,0.8438684778945316,False
175,0.0015695777656219434,-0.5125000000000001,4.717418446503869,False
176,0.0021503175903490046,-0.4,2.5,False
177,0.005690065083399531,-0.2112359550561796,5.0,False
178,0.0017524910581414588,-0.71875,1.4500729907662655,False
179,0.0009686898265499622,-0.76,1.2414463527122557,False
180,0.00279782273901219,-0.32,0.6946093749999998,False
181,0.005012140229155193,-0.22222222222222204,5.0,False
182,0.0014605409014620818,-0.6210526315789474,2.7489131843823955,False
183,0.0019504166702972725,-0.4193548387096775,2.5,False
184,0.00410389474927797,-0.2499999999999999,1.25,False
185,0.0046613259673904395,-0.23199999999999987,3.823519987714844,False
186,0.007693024879699806,-0.18048780487804858,2.471375,False
187,0.003988931968706311,-0.2546874999999999,1.25,False
188,0.003761771833524108,-0.27678571428571425,0.625,False
189,0.0022427618896472268,-0.37500000000000006,5.0,False
190,0.001749725630361354,-0.4535714285714286,2.5253543498363866,False
191,0.00409836389371776,-0.2499999999999999,2.154565625,False
