step,reward,mean,median,std,max,min
0,-0.06764705882352942,-0.06764705882352942,-0.06764705882352942,0.0,-0.06764705882352942,-0.06764705882352942
1,-0.06764705882352942,-0.06764705882352942,-0.06764705882352942,0.0,-0.06764705882352942,-0.06764705882352942
2,-0.06944444444444446,-0.06824618736383443,-0.06764705882352942,0.0008472957073041455,-0.06764705882352942,-0.06944444444444446
3,-0.06857142857142857,-0.06832749766573297,-0.068109243697479,0.0007471724080133827,-0.06764705882352942,-0.06944444444444446
4,-0.07317073170731707,-0.06929614447404979,-0.06857142857142857,0.0020493218007152174,-0.06764705882352942,-0.07317073170731707
5,-0.06333333333333337,-0.06830234261726371,-0.068109243697479,0.0029048196481874897,-0.06333333333333337,-0.07317073170731707
6,-0.0725,-0.06890200795765462,-0.06857142857142857,0.003064334022043056,-0.06333333333333337,-0.07317073170731707
7,-0.07555555555555553,-0.06973370140739224,-0.06900793650793652,0.00361363709912526,-0.06333333333333337,-0.07555555555555553
8,-0.06333333333333337,-0.06902254939916347,-0.06857142857142857,0.003956430230896381,-0.06333333333333337,-0.07555555555555553
9,-0.07555555555555553,-0.06967585001480267,-0.06900793650793652,0.00423429113362636,-0.06333333333333337,-0.07555555555555553
