step,reward,mean,median,std,max,min
0,-0.065625,-0.065625,-0.065625,0.0,-0.065625,-0.065625
1,-0.0725,-0.0690625,-0.0690625,0.003437499999999996,-0.065625,-0.0725
2,-0.06764705882352942,-0.0685906862745098,-0.06764705882352942,0.0028849299037911683,-0.065625,-0.0725
3,-0.06666666666666667,-0.06810968137254902,-0.06715686274509805,0.002633669029979337,-0.065625,-0.0725
4,-0.0725,-0.06898774509803922,-0.06764705882352942,0.0029381888420700127,-0.065625,-0.0725
5,-0.06666666666666667,-0.06860089869281046,-0.06715686274509805,0.0028182226253283585,-0.065625,-0.0725
6,-0.0760869565217391,-0.06967033552551455,-0.06764705882352942,0.003697286040163797,-0.065625,-0.0760869565217391
7,-0.06944444444444446,-0.06964209914038079,-0.06854575163398693,0.003459301173511679,-0.065625,-0.0760869565217391
8,-0.065625,-0.0691957547914496,-0.06764705882352942,0.003497271839523503,-0.065625,-0.0760869565217391
9,-0.07843137254901959,-0.07011931656720659,-0.06854575163398693,0.004322559018721029,-0.065625,-0.07843137254901959
