params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",121.70157202714563,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",105.46202909704016,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",75.86015469012591,10,-0.09986215578797877,-0.09999999999999998,-0.09999999999999998,-0.09911929543634906,0.00028868199385647384
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",21.991598630560475,10,-0.07086337422611244,-0.06900793650793652,-0.07962962962962959,-0.06451612903225809,0.00452423711434849
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",21.552685743904476,10,-0.06929643696491525,-0.06857142857142857,-0.0760869565217391,-0.06333333333333337,0.003765430803407779
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",21.058913487148857,10,-0.0690531073198223,-0.06854575163398693,-0.07659574468085102,-0.06333333333333337,0.0033096176961273428
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",18.525551367029948,10,-0.07182023392881179,-0.06934984520123841,-0.08405797101449272,-0.060714285714285735,0.007477128204162494
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",17.864376313084904,10,-0.0694842270122843,-0.06942084942084943,-0.0738095238095238,-0.065625,0.0025250065981150724
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",17.376160590758445,10,-0.0682092547545334,-0.068109243697479,-0.07555555555555553,-0.06333333333333337,0.003219750887787817
"{""alpha"": 0.1, ""epsilon"": 0.1, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",17.05447655588887,10,-0.0690703658656445,-0.06854575163398693,-0.07499999999999997,-0.06333333333333337,0.00371362475715481
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",93.7391028320344,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",80.90406731209077,10,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998,0.0
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",64.81401787414416,10,-0.09950047636162407,-0.09999999999999998,-0.09999999999999998,-0.09537815126050421,0.0013786103673882645
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",21.22796447926612,10,-0.07159149319515172,-0.0725,-0.07884615384615382,-0.060714285714285735,0.004436133564648683
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",20.748826470990025,10,-0.06784362468058121,-0.065625,-0.0760869565217391,-0.060714285714285735,0.00484990367376262
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",19.255394756907663,10,-0.06721485132514544,-0.06715686274509805,-0.07179487179487182,-0.06333333333333337,0.002139000865571933
"{""alpha"": 0.1, ""epsilon"": 0.3, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon_decay"": 1e-05}",18.536741867865203,10,-0.0694655146909404,-0.06857142857142857,-0.08166666666666664,-0.06333333333333337,0.004617876756599865
