step,reward,mean,median,std,max,min
0,-0.03125000000000001,-0.03125000000000001,-0.03125000000000001,0.0,-0.03125000000000001,-0.03125000000000001
1,-0.038888888888888896,-0.03506944444444445,-0.03506944444444445,0.0038194444444444448,-0.03125000000000001,-0.038888888888888896
2,-0.038888888888888896,-0.0363425925925926,-0.038888888888888896,0.0036010067560426034,-0.03125000000000001,-0.038888888888888896
3,-0.04500000000000002,-0.038506944444444455,-0.038888888888888896,0.004876340232043086,-0.03125000000000001,-0.04500000000000002
4,-0.038888888888888896,-0.038583333333333344,-0.038888888888888896,0.004364206261887301,-0.03125000000000001,-0.04500000000000002
5,-0.038888888888888896,-0.038634259259259264,-0.038888888888888896,0.003985584126562128,-0.03125000000000001,-0.04500000000000002
6,-0.02666666666666669,-0.03692460317460318,-0.038888888888888896,0.005581501205475738,-0.02666666666666669,-0.04500000000000002
7,-0.038888888888888896,-0.0371701388888889,-0.038888888888888896,0.005261276057413714,-0.02666666666666669,-0.04500000000000002
8,-0.03529411764705883,-0.03696169208424111,-0.038888888888888896,0.004995293463573767,-0.02666666666666669,-0.04500000000000002
9,-0.04210526315789475,-0.03747604919160648,-0.038888888888888896,0.004983846929187924,-0.02666666666666669,-0.04500000000000002
