steps,time,reward,delta,converged
1,0.002835364745556568,-5.486268473237503,0.771304348008448,False
2,0.0027563522125877427,-8.49411231528807,0.5485338460880896,False
3,0.003557144234218157,-10.269436370345307,0.34456263520776365,False
4,0.002742525019318265,-11.537758539665601,0.2291245065337759,False
5,0.0031632667573724405,-12.274738693585537,0.14663968418161655,False
6,0.009014539886317507,-12.651661161648004,0.09075342023216315,False
7,0.004065589883867737,-12.860968946706596,0.0626167232948168,False
8,0.0025039071697552373,-12.962003003257752,0.0465373072922412,False
9,0.002629537097174506,-13.012893293954654,0.03486713102757344,False
10,0.0026070185252784484,-13.085909036722045,0.02662477094708865,False
11,0.0026188704052234613,-13.159367488159804,0.020110056009697175,False
12,0.0024466230833528613,-13.212677267293994,0.013851597654567227,False
13,0.002469931780578527,-13.240523559671974,0.010024569807549122,False
14,0.0028393153722046094,-13.239769937312174,0.007726312425759607,False
15,0.0023873636836277967,-13.224485430531631,0.005829903327450758,False
16,0.0024272650127770135,-13.210956968892349,0.004264184455959552,False
17,0.002393289623599415,-13.205074036836029,0.0028401925051972365,False
18,0.0025552653161842187,-13.205453527177816,0.0018564217770009606,False
19,0.002680500180938239,-13.208575434935497,0.0014437987979385447,False
20,0.002490870101816256,-13.212313690958435,0.0011219816073450017,False
21,0.00256316656948119,-13.215755632837206,0.0008712287484801129,False
22,0.002457289775304794,-13.218629334697672,0.0006760457048680113,False
23,0.002443462582035316,-13.220928795761099,0.0005242643390245827,False
24,0.0025299813056349763,-13.222734074884524,0.00040633754371166564,False
25,0.002541043060250381,-13.224139422938446,0.0003147859121989116,False
26,0.0024833639111836447,-13.225229389144328,0.0002437594953837996,False
27,0.002469931780579415,-13.226047081861172,0.00016542676639957898,False
28,0.0028183770509677686,-13.226649582402981,0.00012511665277709083,False
29,0.0024738824072274568,-13.227102555834179,9.343534451244917e-05,False
30,0.0024501786473365428,-13.227443511180063,6.974528498593369e-05,False
31,0.0030451430205857832,-13.227700073875898,5.210835331626029e-05,False
32,0.0025363023082718428,-13.22789307151789,3.8964426748167025e-05,False
33,0.0025445986242340624,-13.228038215246325,2.9156330095758687e-05,False
34,0.0027113150687956278,-13.228147347242988,2.1829497367065187e-05,False
35,0.002419363759479154,-13.228229387761552,1.635136673883153e-05,False
36,0.0024138328821718957,-13.228291052779188,1.2252533734602444e-05,False
37,0.0023913143102758383,-13.228337396713695,9.183932104528392e-06,True
