params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",0.649997392586412,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.1}",0.7181160725714313,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.2}",0.7689412794657489,10,-0.09884210526315788,-0.1,-0.1,-0.08842105263157891,0.0034736842105263276
"{""discount_factor"": 0.3}",0.7001825979636891,10,-0.09933333333333333,-0.1,-0.1,-0.09333333333333332,0.0020000000000000044
"{""discount_factor"": 0.4}",0.7192617542994673,10,-0.053967116705812015,-0.054933110367893,-0.08571428571428569,-0.02666666666666669,0.01829355145237396
"{""discount_factor"": 0.5}",0.7171928111237,10,-0.03747604919160648,-0.038888888888888896,-0.04500000000000002,-0.02666666666666669,0.004983846929187924
"{""discount_factor"": 0.6}",0.742257166831803,10,-0.04429031257812051,-0.04630952380952383,-0.054166666666666675,-0.03125000000000001,0.007570772484228916
"{""discount_factor"": 0.7}",0.8198545853343262,10,-0.03968371359433067,-0.04210526315789475,-0.062068965517241406,-0.02666666666666669,0.010445409083257175
"{""discount_factor"": 0.8}",0.978405084614522,10,-0.040392924713745164,-0.04210526315789475,-0.050000000000000024,-0.02666666666666669,0.007022039793687529
"{""discount_factor"": 0.9}",0.7875424099770703,10,-0.04190462062017791,-0.043552631578947384,-0.050000000000000024,-0.03125000000000001,0.005498937961456092
