steps,time,reward,delta,converged
1,0.009583430123687009,-21.162298073117018,0.7758333333333334,False
2,0.008956465674586411,-27.89852934140287,0.2777375,False
3,0.009115280865851005,-30.115532236556938,0.09799156250000002,False
4,0.009020860888954374,-30.887995592360184,0.0350572359375,False
5,0.009554590549154085,-31.16036742453391,0.012502163322363896,False
6,0.008809502363265054,-31.25180998317967,0.004469887516425436,False
7,0.008926045849392494,-31.28188013408694,0.001596495374266066,False
8,0.00887942845494294,-31.291543887560252,0.0005648152190559363,False
9,0.009549454734511187,-31.29478339405155,0.00019745819480287974,False
10,0.011138001709831258,-31.29594513382101,7.03541270268282e-05,False
11,0.008671625493235524,-31.296358868590048,2.4919562757907965e-05,False
12,0.008719823138346072,-31.296489695653634,8.779448984669314e-06,True
