step,reward,mean,median,std,max,min
0,-0.065625,-0.065625,-0.065625,0.0,-0.065625,-0.065625
1,-0.06333333333333337,-0.06447916666666668,-0.06447916666666668,0.0011458333333333182,-0.06333333333333337,-0.065625
2,-0.06764705882352942,-0.06553513071895427,-0.065625,0.001762217214562109,-0.06333333333333337,-0.06764705882352942
3,-0.06333333333333337,-0.06498468137254904,-0.06447916666666668,0.0017994556350041239,-0.06333333333333337,-0.06764705882352942
4,-0.07105263157894738,-0.0661982714138287,-0.065625,0.002912324779115685,-0.06333333333333337,-0.07105263157894738
5,-0.06451612903225809,-0.0659179143502336,-0.06507056451612905,0.002731488623092,-0.06333333333333337,-0.07105263157894738
6,-0.06764705882352942,-0.06616493498927586,-0.065625,0.0026002468790818885,-0.06333333333333337,-0.07105263157894738
7,-0.1473684210526316,-0.07631537074719533,-0.06663602941176472,0.02696545096753815,-0.06333333333333337,-0.1473684210526316
8,-0.065625,-0.07512755177528474,-0.065625,0.025644297976968263,-0.06333333333333337,-0.1473684210526316
9,-0.06333333333333337,-0.0739481299310896,-0.065625,0.024584270170933824,-0.06333333333333337,-0.1473684210526316
