params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.791887704227645,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.1}",1.84100505522186,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.2}",1.8689399362526888,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.3}",1.8814045583910524,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.4}",2.0497968587777375,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.5}",2.0253728996493408,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.6}",2.0852813873336586,10,-0.1,-0.1,-0.1,-0.1,0.0
"{""discount_factor"": 0.7}",2.187466715970487,10,-0.07537632906167248,-0.07525278058645093,-0.08552631578947366,-0.06764705882352942,0.0056493004981596345
"{""discount_factor"": 0.8}",2.513730797979175,10,-0.06731116973408825,-0.065625,-0.07317073170731707,-0.06333333333333337,0.0031769516357898916
"{""discount_factor"": 0.9}",2.5270843111134305,10,-0.0739481299310896,-0.065625,-0.1473684210526316,-0.06333333333333337,0.024584270170933824
