steps,time,reward,delta,converged
1,0.019652392262461404,-19.867460909057815,0.7447058081716412,False
2,0.02167906373308881,-12.063348109550846,0.27077723489343447,False
3,0.021340099966655757,-10.86999831869413,0.06600733815464299,False
4,0.02637319831671725,-10.58087793450233,0.004700206809529928,False
5,0.021150074824868526,-10.532144464198991,0.0017216414033663918,False
6,0.02242494204430656,-10.53146250831918,5.285753375272595e-06,False
7,0.021252000992397768,-10.53146250831918,5.285753375272595e-06,False
8,0.024728157380323523,-10.53146250831918,5.285753375272595e-06,False
9,0.021424643376933616,-10.53146250831918,5.285753375272595e-06,False
10,0.021720150250233772,-10.53146250831918,5.285753375272595e-06,False
11,0.02107027216657187,-10.53146250831918,5.285753375272595e-06,False
12,0.021236988611134322,-10.53146250831918,5.285753375272595e-06,True
