steps,time,reward,delta,converged
1,0.07278595030743418,-73.41724067320003,0.656999690963205,False
2,0.07989549802390172,-58.35015327673637,0.06994996813914989,False
3,0.07870556927740324,-57.255174170424326,0.009195115830072043,False
4,0.08074409262796678,-57.122790542562996,0.004858976611601895,False
5,0.08225086163167816,-57.09995213437836,0.0031148694078969585,False
6,0.0842530392170886,-57.09654502692747,5.558342147055084e-05,False
7,0.08554331388045,-57.09634007680816,8.840850529712174e-06,False
8,0.09244861419918493,-57.096332498649254,5.0371365916679345e-06,False
9,0.08688455162757691,-57.09633476007852,5.0371634320312e-06,False
10,0.08535526405198368,-57.09633281077451,5.0371365916679345e-06,False
11,0.08612010537112269,-57.09633476007852,5.0371634320312e-06,False
12,0.0849621767004578,-57.09633281077451,5.0371365916679345e-06,False
13,0.09056139984924982,-57.09633476007852,5.0371634320312e-06,False
14,0.08695487278191649,-57.09633281077451,5.0371365916679345e-06,False
15,0.08406735976460311,-57.09633476007852,5.0371634320312e-06,False
16,0.09125987064068397,-57.09633281077451,5.0371365916679345e-06,False
17,0.08455842265701108,-57.09633476007852,5.0371634320312e-06,False
18,0.0849230654966533,-57.09633281077451,5.0371365916679345e-06,False
19,0.0938269878368061,-57.09633476007852,5.0371634320312e-06,False
20,0.08688968744222336,-57.09633281077451,5.0371365916679345e-06,False
21,0.08375249482072888,-57.09633476007852,5.0371634320312e-06,False
22,0.08462913887400703,-57.09633281077451,5.0371365916679345e-06,False
23,0.08417560693476389,-57.09633476007852,5.0371634320312e-06,False
24,0.08408474252185272,-57.09633281077451,5.0371365916679345e-06,False
25,0.08411358209639275,-57.09633476007852,5.0371634320312e-06,False
26,0.08423802683581982,-57.09633281077451,5.0371365916679345e-06,False
27,0.08540148638377332,-57.09633476007852,5.0371634320312e-06,False
28,0.08465797844853284,-57.09633281077451,5.0371365916679345e-06,False
29,0.08446716318142933,-57.09633476007852,5.0371634320312e-06,False
30,0.0908944376757006,-57.09633281077451,5.0371365916679345e-06,False
31,0.08903013696031792,-57.09633476007852,5.0371634320312e-06,False
32,0.0974512927240454,-57.09633281077451,5.0371365916679345e-06,False
33,0.0845157558891998,-57.09633476007852,5.0371634320312e-06,False
34,0.087998628342433,-57.09633281077451,5.0371365916679345e-06,False
35,0.08375012444473384,-57.09633476007852,5.0371634320312e-06,False
36,0.0840250880594624,-57.09633281077451,5.0371365916679345e-06,False
37,0.08524346131784455,-57.09633476007852,5.0371634320312e-06,False
38,0.08452405220516823,-57.09633281077451,5.0371365916679345e-06,False
39,0.08432098999543314,-57.09633476007852,5.0371634320312e-06,False
40,0.08446795330674206,-57.09633281077451,5.0371365916679345e-06,False
41,0.08409303883782115,-57.09633476007852,5.0371634320312e-06,False
42,0.09202826752378712,-57.09633281077451,5.0371365916679345e-06,False
43,0.0914198710199372,-57.09633476007852,5.0371634320312e-06,False
44,0.09333829532040738,-57.09633281077451,5.0371365916679345e-06,False
45,0.08383111229102269,-57.09633476007852,5.0371634320312e-06,False
46,0.08489146048346186,-57.09633281077451,5.0371365916679345e-06,False
47,0.08397333485038416,-57.09633476007852,5.0371634320312e-06,False
48,0.08398518673031674,-57.09633281077451,5.0371365916679345e-06,False
49,0.08446281749210982,-57.09633476007852,5.0371634320312e-06,False
50,0.08385797655223826,-57.09633281077451,5.0371365916679345e-06,False
51,0.0844237062882911,-57.09633476007852,5.0371634320312e-06,False
52,0.08417521187210752,-57.09633281077451,5.0371365916679345e-06,False
53,0.08462518824737231,-57.09633476007852,5.0371634320312e-06,False
54,0.1105243113662766,-57.09633281077451,5.0371365916679345e-06,False
55,0.08799072708913513,-57.09633476007852,5.0371634320312e-06,False
56,0.0861023275512025,-57.09633281077451,5.0371365916679345e-06,False
57,0.08500089284162016,-57.09633476007852,5.0371634320312e-06,False
58,0.08583170962577924,-57.09633281077451,5.0371365916679345e-06,False
59,0.08407605114322791,-57.09633476007852,5.0371634320312e-06,False
60,0.08434824931930507,-57.09633281077451,5.0371365916679345e-06,False
61,0.08472039834958878,-57.09633476007852,5.0371634320312e-06,False
62,0.08419773044400358,-57.09633281077451,5.0371365916679345e-06,False
63,0.08419694031867664,-57.09633476007852,5.0371634320312e-06,False
64,0.08395713728111787,-57.09633281077451,5.0371365916679345e-06,False
65,0.0856207461627605,-57.09633476007852,5.0371634320312e-06,False
66,0.08650568653200708,-57.09633281077451,5.0371365916679345e-06,False
67,0.10989853210516287,-57.09633476007852,5.0371634320312e-06,False
68,0.08497205326709434,-57.09633281077451,5.0371365916679345e-06,False
69,0.08437550864319121,-57.09633476007852,5.0371634320312e-06,False
70,0.08455012634104264,-57.09633281077451,5.0371365916679345e-06,False
71,0.08536711593193047,-57.09633476007852,5.0371634320312e-06,False
72,0.08572109207962342,-57.09633281077451,5.0371365916679345e-06,False
73,0.08467536120579666,-57.09633476007852,5.0371634320312e-06,False
74,0.0848002010078801,-57.09633281077451,5.0371365916679345e-06,False
75,0.0862978835702819,-57.09633476007852,5.0371634320312e-06,False
76,0.08416296492949016,-57.09633281077451,5.0371365916679345e-06,False
77,0.08602726564487284,-57.09633476007852,5.0371634320312e-06,False
78,0.08780781307531527,-57.09633281077451,5.0371365916679345e-06,False
79,0.08502894229083324,-57.09633476007852,5.0371634320312e-06,False
80,0.08471605266026927,-57.09633281077451,5.0371365916679345e-06,False
81,0.08469629952703883,-57.09633476007852,5.0371634320312e-06,False
82,0.08468444764707783,-57.09633281077451,5.0371365916679345e-06,False
83,0.08436760738987914,-57.09633476007852,5.0371634320312e-06,False
84,0.08438973089911883,-57.09633281077451,5.0371365916679345e-06,False
85,0.08420326132132061,-57.09633476007852,5.0371634320312e-06,False
86,0.08472948479088416,-57.09633281077451,5.0371365916679345e-06,False
87,0.0844557063641389,-57.09633476007852,5.0371634320312e-06,False
88,0.08401086580353478,-57.09633281077451,5.0371365916679345e-06,False
89,0.0888274698132534,-57.09633476007852,5.0371634320312e-06,False
90,0.08710934228386691,-57.09633281077451,5.0371365916679345e-06,False
91,0.09045275761641847,-57.09633476007852,5.0371634320312e-06,False
92,0.08458647210620995,-57.09633281077451,5.0371365916679345e-06,False
93,0.08477491699733264,-57.09633476007852,5.0371634320312e-06,False
94,0.08452563245582212,-57.09633281077451,5.0371365916679345e-06,False
95,0.08364898840254398,-57.09633476007852,5.0371634320312e-06,False
96,0.08433600237670191,-57.09633281077451,5.0371365916679345e-06,False
97,0.08541886914102292,-57.09633476007852,5.0371634320312e-06,False
98,0.08698173704313206,-57.09633281077451,5.0371365916679345e-06,False
99,0.08401916211950322,-57.09633476007852,5.0371634320312e-06,False
100,0.09260782445311122,-57.09633281077451,5.0371365916679345e-06,False
101,0.11641943645101094,-57.09633476007852,5.0371634320312e-06,False
102,0.09496674362486601,-57.09633281077451,5.0371365916679345e-06,False
103,0.0840559029473269,-57.09633476007852,5.0371634320312e-06,False
104,0.08398242129166533,-57.09633281077451,5.0371365916679345e-06,False
105,0.08403456956342836,-57.09633476007852,5.0371634320312e-06,False
106,0.08609758679922663,-57.09633281077451,5.0371365916679345e-06,False
107,0.085414918514374,-57.09633476007852,5.0371634320312e-06,False
108,0.08580682067788814,-57.09633281077451,5.0371365916679345e-06,False
109,0.08426449603436481,-57.09633476007852,5.0371634320312e-06,False
110,0.08385244567493544,-57.09633281077451,5.0371365916679345e-06,False
111,0.08579654904862366,-57.09633476007852,5.0371634320312e-06,False
112,0.09396960545882393,-57.09633281077451,5.0371365916679345e-06,False
113,0.08573966002487055,-57.09633476007852,5.0371634320312e-06,False
114,0.10640854852397297,-57.09633281077451,5.0371365916679345e-06,False
115,0.08510518938513201,-57.09633476007852,5.0371634320312e-06,False
116,0.08385126048693792,-57.09633281077451,5.0371365916679345e-06,False
117,0.10073505359420665,-57.09633476007852,5.0371634320312e-06,False
118,0.08397135953704549,-57.09633281077451,5.0371365916679345e-06,False
119,0.08366163040781771,-57.09633476007852,5.0371634320312e-06,False
120,0.08442212603763721,-57.09633281077451,5.0371365916679345e-06,False
121,0.08580168486324169,-57.09633476007852,5.0371634320312e-06,False
122,0.08410489071776794,-57.09633281077451,5.0371365916679345e-06,False
123,0.08752929389659414,-57.09633476007852,5.0371634320312e-06,False
124,0.08648237783476986,-57.09633281077451,5.0371365916679345e-06,False
125,0.08387456918416092,-57.09633476007852,5.0371634320312e-06,False
126,0.08405432269667301,-57.09633281077451,5.0371365916679345e-06,False
127,0.08415190317488452,-57.09633476007852,5.0371634320312e-06,False
128,0.08448415087600836,-57.09633281077451,5.0371365916679345e-06,False
129,0.08447506443472719,-57.09633476007852,5.0371634320312e-06,False
130,0.08544691859023601,-57.09633281077451,5.0371365916679345e-06,False
131,0.08459713879815922,-57.09633476007852,5.0371634320312e-06,False
132,0.08444820017351162,-57.09633281077451,5.0371365916679345e-06,False
133,0.084422126037623,-57.09633476007852,5.0371634320312e-06,False
134,0.08876979066420176,-57.09633281077451,5.0371365916679345e-06,False
135,0.08734479963212038,-57.09633476007852,5.0371634320312e-06,False
136,0.08418982919070572,-57.09633281077451,5.0371365916679345e-06,False
