step,reward,mean,median,std,max,min
0,-0.07105263157894738,-0.07105263157894738,-0.07105263157894738,0.0,-0.07105263157894738,-0.07105263157894738
1,-0.07179487179487182,-0.07142375168690959,-0.07142375168690959,0.0003711201079622181,-0.07105263157894738,-0.07179487179487182
2,-0.06333333333333337,-0.06872694556905085,-0.07105263157894738,0.00382587853496814,-0.06333333333333337,-0.07179487179487182
3,-0.06333333333333337,-0.06737854251012147,-0.06719298245614037,0.004053712169263838,-0.06333333333333337,-0.07179487179487182
4,-0.06666666666666667,-0.06723616734143051,-0.06666666666666667,0.0036369147138239724,-0.06333333333333337,-0.07179487179487182
5,-0.06333333333333337,-0.06658569500674764,-0.06500000000000002,0.003624664833327803,-0.06333333333333337,-0.07179487179487182
6,-0.065625,-0.06644845286292655,-0.065625,0.003372583960142753,-0.06333333333333337,-0.07179487179487182
7,-0.065625,-0.06634552125506074,-0.065625,0.003166495959016931,-0.06333333333333337,-0.07179487179487182
8,-0.06666666666666667,-0.06638120407857251,-0.065625,0.002987106520217182,-0.06333333333333337,-0.07179487179487182
9,-0.06333333333333337,-0.0660764170040486,-0.065625,0.0029776805191261235,-0.06333333333333337,-0.07179487179487182
