steps,time,reward,delta,converged
1,0.0038091942143863022,-5.114109536093754,0.774736842109375,False
2,0.0036954161669124908,-6.6703734986488294,0.34613850431640636,False
3,0.0024877096004969346,-7.13678203550029,0.1369813981978516,False
4,0.002431610702089415,-7.34447882949102,0.053162211468642584,False
5,0.003015908383387611,-7.4113327997327705,0.021264884587457067,False
6,0.002786376975115523,-7.428500955678356,0.008836095024739088,False
7,0.0025568455668438794,-7.436428302118742,0.0037102568280693304,False
8,0.002471907093903436,-7.439230546092541,0.001444705731949214,False
9,0.0031296864308614225,-7.4402039534146205,0.0006683091550761799,False
10,0.0024786231592055508,-7.44090779499717,0.00032584617726852394,False
11,0.0024640058406064647,-7.441305671628093,0.00015553887080146933,False
12,0.0024252896994521045,-7.441470659027139,6.835590645812295e-05,False
13,0.0023849933076385277,-7.441522243194611,2.9540599559174652e-05,False
14,0.0023960550622539323,-7.441535090448596,1.253854691793399e-05,False
15,0.002735413891351346,-7.441535943056261,5.715661739486011e-06,True
